latitude,longitude,turbidez,clorofila,data,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
-18.88812,-45.20045,3.59,,2019-11-20,437.0,736.0,276.0,196.0,65.0,26.0,-0.1694915254237288,-0.6187683284457478,-166.55555555555554,0.931758530183727,1.6842105263157894,0.375,0.7101449275362319,2019-11-03,26.111246,11.0,4.0
-18.89833,-45.12083,3.56,,2019-11-20,404.0,595.0,339.0,285.0,98.0,69.0,-0.08653846153846154,-0.551487414187643,-193.0,0.7921686746987951,1.4727722772277227,0.5697478991596638,0.8407079646017699,2019-11-03,26.111246,11.0,4.0
-18.8325,-45.13306,3.23,,2019-11-20,545.0,832.0,346.0,274.0,111.0,74.0,-0.11612903225806452,-0.5142231947483589,-186.64444444444445,0.8366445916114791,1.526605504587156,0.41586538461538464,0.791907514450867,2019-11-03,26.111246,11.0,4.0
-18.57222,-45.26083,9.08,,2019-11-21,513.0,669.0,288.0,261.0,164.0,121.0,-0.04918032786885246,-0.2743362831858407,-94.31111111111113,0.6936708860759494,1.304093567251462,0.4304932735426009,0.90625,2019-11-03,26.111246,11.0,4.0
-18.48928,-45.42733,7.81,,2019-11-21,379.0,473.0,189.0,166.0,104.0,37.0,-0.0647887323943662,-0.2901023890784983,-57.97777777777779,0.8549019607843137,1.2480211081794195,0.39957716701902746,0.8783068783068783,2019-11-03,26.111246,11.0,4.0
-18.22376,-45.26183,1.08,,2019-11-20,679.0,678.0,422.0,386.0,303.0,160.0,-0.04455445544554455,-0.16413793103448276,-72.42222222222222,0.6181384248210023,0.9985272459499264,0.6224188790560472,0.9146919431279621,2019-11-03,26.111246,11.0,4.0
-18.88812,-45.20045,6.34,,2020-02-19,310.0,572.0,260.0,218.0,65.0,17.0,-0.08786610878661087,-0.6,-151.8,0.9422750424448217,1.8451612903225807,0.45454545454545453,0.8384615384615385,2020-03-17,4.889838,3.0,2.0
-18.89833,-45.12083,10.5,,2020-02-19,400.0,744.0,634.0,526.0,106.0,27.0,-0.09310344827586207,-0.7135135135135136,-420.08888888888885,0.9299610894941635,1.86,0.8521505376344086,0.8296529968454258,2020-03-17,4.889838,3.0,2.0
-18.8325,-45.13306,3.53,,2020-02-19,418.0,803.0,409.0,315.0,77.0,15.0,-0.1298342541436464,-0.6831275720164609,-261.9555555555555,0.9633251833740831,1.9210526315789473,0.5093399750933998,0.7701711491442543,2020-03-17,4.889838,3.0,2.0
-18.57222,-45.26083,3.08,,2020-02-20,237.0,390.0,147.0,119.0,51.0,16.0,-0.10526315789473684,-0.48484848484848486,-72.71111111111111,0.9211822660098522,1.6455696202531647,0.3769230769230769,0.8095238095238095,2020-03-17,4.889838,3.0,2.0
