Parâmetro,PONTO,DATA,UN.,RESULT.
Cobre Dissolvido ,CLA-06,2018-01-01,mg/L,0.513
Condutividade Elétrica,CLA-06,2018-01-01,μS/cm,12.0
Cor Verdadeira ,CLA-06,2018-01-01,UC,2.1
DBO ,CLA-06,2018-01-01,mg/L,
DQO,CLA-06,2018-01-01,mg/L,
Dureza Total ,CLA-06,2018-01-01,mg/L,20.0
Potássio Total ,CLA-06,2018-01-01,mg/L,0.001
Ferro Dissolvido,CLA-06,2018-01-01,mg/L,1.26
Fósforo Total ,CLA-06,2018-01-01,mg/L,1.213
Manganês Total ,CLA-06,2018-01-01,mg/L,0.071
Nitrogênio Amoniacal ,CLA-06,2018-01-01,mg/L,
Nitrato ,CLA-06,2018-01-01,mg/L,0.019
Nitrito ,CLA-06,2018-01-01,mg/L,0.015
Nitrogênio total,CLA-06,2018-01-01,mg/L,
Óleos e Graxas,CLA-06,2018-01-01,mg/L,2.3
Oxigênio Dissolvido,CLA-06,2018-01-01,mg/L,4.9
pH,CLA-06,2018-01-01,mg/L,6.9
Sólidos Dissolvidos,CLA-06,2018-01-01,mg/L,6.0
Sulfato Total,CLA-06,2018-01-01,mg/L,15.2
Temperatura da Água,CLA-06,2018-01-01,°C,27.3
Transparência da Água,CLA-06,2018-01-01,m,
Turbidez,CLA-06,2018-01-01,NTU,19.39
Coliformes Totais,CLA-06,2018-01-01,NMP/100mL,0.0
Escherichia coli,CLA-06,2018-01-01,NPM/100mL,0.0
Clorofila a,CLA-06,2018-01-01,μg/L,0.0
Alcalinidade Total,CLA-06B,2018-01-01,mg/L,16.0
Alumínio Dissolvido ,CLA-06B,2018-01-01,mg/L,0.035
Cloreto Total ,CLA-06B,2018-01-01,mg/L,16.3
Cobre Dissolvido ,CLA-06B,2018-01-01,mg/L,0.617
Condutividade Elétrica,CLA-06B,2018-01-01,μS/cm,20.0
Cor Verdadeira ,CLA-06B,2018-01-01,UC,3.2
DBO ,CLA-06B,2018-01-01,mg/L,
DQO,CLA-06B,2018-01-01,mg/L,
Dureza Total ,CLA-06B,2018-01-01,mg/L,18.0
Potássio Total ,CLA-06B,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-06B,2018-01-01,mg/L,0.47
