sitio_cod,data,paramet,unidade,result,Latitude,Longitude
TM25,24/08/2022,clorofila a,µg/l,"1,07",-18.8325,-45.13306
TM25,01/11/2022,clorofila a,µg/l,"4,27",-18.8325,-45.13306
TM25,16/02/2023,clorofila a,µg/l,"8,54",-18.8325,-45.13306
TM25,15/12/2023,clorofila a,µg/l,"12,8",-18.8325,-45.13306
TM30,02/06/2022,clorofila a,µg/l,1.07,-18.57222,-45.26083
TM30,15/02/2023,turbidez,ntu,2.1,-18.57222,-45.26083
TM30,02/06/2022,turbidez,ntu,2.86,-18.57222,-45.26083
TM30,30/11/2022,turbidez,ntu,3.27,-18.57222,-45.26083
TM30,25/08/2022,turbidez,ntu,260,-18.57222,-45.26083
TM30,16/02/2017,clorofila a,,1.07,-18.57222,-45.26083
TM30,27/02/2019,clorofila a,,1.07,-18.57222,-45.26083
TM30,20/02/2020,clorofila a,,1.07,-18.57222,-45.26083
TM30,24/02/2022,clorofila a,,1.07,-18.57222,-45.26083
TM30,04/05/2016,clorofila a,,1.07,-18.57222,-45.26083
TM30,16/05/2018,clorofila a,,1.07,-18.57222,-45.26083
TM30,22/05/2019,clorofila a,,1.07,-18.57222,-45.26083
TM30,06/05/2020,clorofila a,,1.07,-18.57222,-45.26083
TM30,20/05/2021,clorofila a,,1.07,-18.57222,-45.26083
TM30,24/08/2016,clorofila a,,1.07,-18.57222,-45.26083
TM30,22/08/2019,clorofila a,,1.07,-18.57222,-45.26083
TM30,26/08/2021,clorofila a,,1.07,-18.57222,-45.26083
TM30,08/01/2016,clorofila a,,1.07,-18.57222,-45.26083
TM30,21/01/2019,clorofila a,,1.07,-18.57222,-45.26083
TM30,03/02/2020,clorofila a,,1.07,-18.57222,-45.26083
TM30,22/08/2019,turbidez,ntu,1.61,-18.57222,-45.26083
TM30,26/08/2021,turbidez,ntu,1.82,-18.57222,-45.26083
TM30,30/01/2021,clorofila a,,2.14,-18.57222,-45.26083
TM30,27/08/2020,turbidez,ntu,2.57,-18.57222,-45.26083
TM30,30/01/2021,turbidez,ntu,3.05,-18.57222,-45.26083
TM30,20/02/2020,turbidez,ntu,3.08,-18.57222,-45.26083
TM30,22/05/2019,turbidez,ntu,3.1,-18.57222,-45.26083
TM30,27/08/2020,clorofila a,,3.2,-18.57222,-45.26083
TM30,21/01/2018,clorofila a,,3.2,-18.57222,-45.26083
TM30,22/08/2018,turbidez,ntu,3.41,-18.57222,-45.26083
TM30,16/05/2018,turbidez,ntu,3.5,-18.57222,-45.26083
TM30,20/05/2021,turbidez,ntu,3.54,-18.57222,-45.26083
TM30,16/02/2017,turbidez,ntu,3.71,-18.57222,-45.26083
TM30,27/02/2019,turbidez,ntu,4.02,-18.57222,-45.26083
TM30,04/05/2016,turbidez,ntu,4.03,-18.57222,-45.26083
TM30,21/01/2018,turbidez,ntu,4.39,-18.57222,-45.26083
TM30,06/05/2020,turbidez,ntu,5.1,-18.57222,-45.26083
TM30,03/02/2021,turbidez,ntu,5.79,-18.57222,-45.26083
TM30,03/02/2020,turbidez,ntu,6.07,-18.57222,-45.26083
TM30,24/08/2016,turbidez,ntu,6.2,-18.57222,-45.26083
TM30,08/01/2016,turbidez,ntu,7.69,-18.57222,-45.26083
TM30,21/01/2019,turbidez,ntu,9.08,-18.57222,-45.26083
TM30,03/02/2021,clorofila a,,9.61,-18.57222,-45.26083
TM30,24/02/2022,turbidez,ntu,12.4,-18.57222,-45.26083
TM30,22/08/2018,clorofila a,,19.2,-18.57222,-45.26083
TM30,15/08/2023,clorofila a,µg/l,2.14,-18.57222,-45.26083
TM30,15/08/2023,turbidez,ntu,0.7,-18.57222,-45.26083
