Object_ID,Latitude,Longitude,Data,Turbidez
PT09,-18.859987343773696,-44.91254351355064,01/10/2021,6.61
PT09,-18.859987343773696,-44.91254351355064,28/10/2021,3.33
PT10,-18.817003085196035,-44.973802920136514,15/12/2020,5.09
PT10,-18.817003085196035,-44.973802920136514,28/01/2021,54.7
PT10,-18.817003085196035,-44.973802920136514,23/02/2021,14.4
PT10,-18.817003085196035,-44.973802920136514,17/05/2021,16.2
PT10,-18.817003085196035,-44.973802920136514,21/05/2021,2.89
PT10,-18.817003085196035,-44.973802920136514,24/06/2021,2.3
PT10,-18.817003085196035,-44.973802920136514,26/07/2021,7.03
PT10,-18.817003085196035,-44.973802920136514,27/08/2021,1.38
PT10,-18.817003085196035,-44.973802920136514,28/09/2021,5.67
PT10,-18.817003085196035,-44.973802920136514,26/10/2021,14.4
PT11,-18.80904348419305,-45.01400112765511,15/12/2020,11.1
PT11,-18.80904348419305,-45.01400112765511,28/01/2021,13.0
PT11,-18.80904348419305,-45.01400112765511,23/02/2021,5.93
PT11,-18.80904348419305,-45.01400112765511,17/05/2021,9.13
PT11,-18.80904348419305,-45.01400112765511,24/05/2021,1.64
PT11,-18.80904348419305,-45.01400112765511,24/06/2021,2.04
PT11,-18.80904348419305,-45.01400112765511,26/07/2021,4.35
PT11,-18.80904348419305,-45.01400112765511,27/08/2021,2.63
PT11,-18.80904348419305,-45.01400112765511,28/09/2021,13.7
PT11,-18.80904348419305,-45.01400112765511,27/10/2021,8.78
PT12,-18.846504947852956,-45.0764704534774,16/12/2020,0.65
PT12,-18.846504947852956,-45.0764704534774,26/01/2021,14.2
PT12,-18.846504947852956,-45.0764704534774,23/02/2021,3.06
PT12,-18.846504947852956,-45.0764704534774,27/04/2021,9.08
PT12,-18.846504947852956,-45.0764704534774,21/05/2021,2.41
PT12,-18.846504947852956,-45.0764704534774,25/06/2021,3.9
PT12,-18.846504947852956,-45.0764704534774,27/07/2021,2.57
PT12,-18.846504947852956,-45.0764704534774,27/08/2021,5.46
PT12,-18.846504947852956,-45.0764704534774,29/09/2021,5.93
PT12,-18.846504947852956,-45.0764704534774,27/10/2021,10.5
PT13,-18.806701941187843,-45.197207950412164,18/12/2020,19.0
PT13,-18.806701941187843,-45.197207950412164,25/01/2021,6.81
PT13,-18.806701941187843,-45.197207950412164,22/02/2021,16.2
PT13,-18.806701941187843,-45.197207950412164,27/04/2021,3.22
PT13,-18.806701941187843,-45.197207950412164,25/05/2021,8.71
PT13,-18.806701941187843,-45.197207950412164,24/06/2021,1.45
PT13,-18.806701941187843,-45.197207950412164,28/07/2021,16.6
PT13,-18.806701941187843,-45.197207950412164,30/08/2021,93.4
PT13,-18.806701941187843,-45.197207950412164,29/09/2021,20.8
PT13,-18.806701941187843,-45.197207950412164,01/11/2021,6.42
PT14,-18.73487252168208,-45.18034911172143,15/12/2020,136.0
PT14,-18.73487252168208,-45.18034911172143,26/01/2021,5.89
PT14,-18.73487252168208,-45.18034911172143,23/02/2021,7.89
PT14,-18.73487252168208,-45.18034911172143,27/04/2021,2.44
PT14,-18.73487252168208,-45.18034911172143,21/05/2021,6.98
