PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez,Latitude,Longitude
CLA-01,2020-04-01,0.001,,,11.0,,,,17.78,-18.40471469720768,-51.22287716980235
CLA-02,2020-04-01,0.001,,,12.0,,,,12.05,-18.478620867606217,-51.188607926708855
CLA-03,2020-04-01,0.001,,,11.0,,,,10.92,-18.528218997966466,-51.15191904306638
CLA-04,2020-04-01,0.001,,,1.0,,,,56.01,-18.554869066877227,-51.12675459317855
CLA-05,2020-04-01,0.53,,,19.0,,,,7.4,-18.55495622601502,-51.12622947820932
CLA-06,2020-04-01,0.001,,,8.0,,,,53.84,-18.569842526616718,-51.10807692400981
CLA-06B,2020-04-01,0.78,,,9.0,,,,17.92,-18.580416304138193,-51.10538491999489
CLA-07,2020-04-01,0.001,,,10.0,,,,12.04,-18.64469238815568,-51.05218482324302
CLA-08,2020-04-01,0.001,,,10.0,,,,9.82,-18.706763370925028,-51.008782838537705
CLA-08CS,2020-04-01,0.001,,,9.0,,,,9.12,-18.658334892800493,-51.06757829218299
CLA-09,2020-04-01,0.001,,,9.0,,,,9.78,-18.732783800131944,-51.003284514940056
CLA-ETE,2020-04-01,,,,24.0,,,,37.22,-18.567897827162238,-51.110681871352824
CLA-01,2020-07-15,0.4,1.6,,7.0,,,7.0,1.86,-18.40471469720768,-51.22287716980235
CLA-02,2020-07-15,0.55,1.5,,6.0,,,,2.12,-18.478620867606217,-51.188607926708855
CLA-03,2020-07-15,0.38,1.8,,8.0,,,,2.35,-18.528218997966466,-51.15191904306638
CLA-04,2020-07-15,0.7,1.6,,10.0,,,,3.05,-18.554869066877227,-51.12675459317855
CLA-05,2020-07-15,1.0,0.2,,18.0,,,,2.69,-18.55495622601502,-51.12622947820932
CLA-06,2020-07-15,0.45,1.8,,9.0,,,,3.43,-18.569842526616718,-51.10807692400981
CLA-06B,2020-07-15,0.5,1.6,,9.0,,,,1.76,-18.580416304138193,-51.10538491999489
CLA-07,2020-07-15,0.48,1.8,,10.0,,,,2.64,-18.64469238815568,-51.05218482324302
CLA-08,2020-07-15,0.6,1.6,,9.0,,,,3.16,-18.706763370925028,-51.008782838537705
CLA-08CS,2020-07-15,0.72,1.8,,8.0,,,,3.46,-18.658334892800493,-51.06757829218299
CLA-09,2020-07-15,0.5,4.0,,6.0,,,,2.89,-18.732783800131944,-51.003284514940056
CLA-ETE,2020-07-15,1.16,0.8,,19.0,,,,20.24,-18.567897827162238,-51.110681871352824
CLA-01,2020-10-07,2.1,1.2,,9.0,,,,1.45,-18.40471469720768,-51.22287716980235
CLA-02,2020-10-07,2.34,2.4,,8.0,,,,2.15,-18.478620867606217,-51.188607926708855
CLA-03,2020-10-07,2.41,2.0,,7.0,,,,2.21,-18.528218997966466,-51.15191904306638
CLA-04,2020-10-07,2.85,2.2,,11.0,,,,2.54,-18.554869066877227,-51.12675459317855
CLA-05,2020-10-07,1.5,0.1,,22.0,,,,2.54,-18.55495622601502,-51.12622947820932
CLA-06,2020-10-07,1.59,2.0,,9.0,,,,2.48,-18.569842526616718,-51.10807692400981
CLA-06B,2020-10-07,5.2,2.1,,10.0,,,,2.36,-18.580416304138193,-51.10538491999489
CLA-07,2020-10-07,4.5,2.1,,10.0,,,,2.12,-18.64469238815568,-51.05218482324302
CLA-08,2020-10-07,1.74,1.6,,9.0,,,,2.84,-18.706763370925028,-51.008782838537705
CLA-08CS,2020-10-14,1.29,1.4,,9.0,,,,2.45,-18.658334892800493,-51.06757829218299
