PONTO,DATA,Alcalinidade Total,Alcalinidade Total_UN,Alumínio Dissolvido ,Alumínio Dissolvido _UN,Cloreto Total ,Cloreto Total _UN,Clorofila a,Clorofila a_UN,Cobre Dissolvido ,Cobre Dissolvido _UN,Cobre Total,Cobre Total_UN,Coliformes Totais,Coliformes Totais_UN,Condutividade Elétrica,Condutividade Elétrica_UN,Cor Verdadeira ,Cor Verdadeira _UN,DBO ,DBO _UN,DQO,DQO_UN,Dureza Total ,Dureza Total _UN,Escherichia coli,Escherichia coli_UN,Ferro Dissolvido,Ferro Dissolvido_UN,Fito - Cyanobacteria (Microcystis cf. aeruginosa),Fito - Cyanobacteria (Microcystis cf. aeruginosa)_UN,Fitoplâncton Quantitativo,Fitoplâncton Quantitativo_UN,Fósforo Total ,Fósforo Total _UN,Manganês Total ,Manganês Total _UN,Nitrato ,Nitrato _UN,Nitrito ,Nitrito _UN,Nitrogênio Amoniacal ,Nitrogênio Amoniacal _UN,Nitrogênio total,Nitrogênio total_UN,Oxigênio Dissolvido,Oxigênio Dissolvido_UN,Potássio Total ,Potássio Total _UN,Sulfato Total,Sulfato Total_UN,Surfactantes,Surfactantes_UN,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Dissolvidos Totais_UN,Sólidos Dissolvidos_UN,Sólidos Sedimentáveis,Sólidos Sedimentáveis_UN,Sólidos Suspensos Totais,Sólidos Suspensos Totais_UN,Sólidos Totais,Sólidos Totais_UN,Temperatura da Água,Temperatura da Água_UN,Transparência da Água,Transparência da Água_UN,Turbidez,Turbidez_UN,Zoobentos Quantitativo,Zoobentos Quantitativo_UN,Zooplâncton Quantitativo,Zooplâncton Quantitativo_UN,pH,pH_UN,Óleos e Graxas,Óleos e Graxas_UN,Latitude,Longitude
CLA-08CS,2018-03-21,12.0,mg/L,0.039,mg/L,12.0,mg/L,0.0,μg/L,0.003,mg/L,,,0.0,NMP/100mL,19.0,μS/cm,15.4,UC,,mg/L,,mg/L,8.0,mg/L,0.0,NPM/100mL,0.105,mg/L,,,,,1.127,mg/L,0.017,mg/L,0.038,mg/L,0.0,mg/L,,mg/L,,mg/L,4.8,mg/L,0.0,mg/L,15.82,mg/L,,,9.0,,,mg/L,,,,,,,28.2,°C,,m,20.3,NTU,,,,,7.5,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2018-03-20,8.0,mg/L,0.0,mg/L,18.52,mg/L,0.0,μg/L,0.0,mg/L,,,0.0,NMP/100mL,25.0,μS/cm,12.1,UC,,mg/L,,mg/L,18.0,mg/L,0.0,NPM/100mL,0.1,mg/L,,,,,0.153,mg/L,0.12,mg/L,0.023,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,8.0,mg/L,,,12.0,,,mg/L,,,,,,,25.2,°C,,m,20.18,NTU,,,,,6.85,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-01,2018-06-25,8.0,mg/L,0.0,mg/L,16.0,mg/L,1.3,μg/L,0.009,mg/L,,,0.0,NMP/100mL,18.0,μS/cm,12.0,UC,,mg/L,,mg/L,10.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.08,mg/L,0.09,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,4.9,mg/L,0.0,mg/L,10.5,mg/L,,,9.0,,,mg/L,,,,,,,25.5,°C,,m,14.1,NTU,,,,,6.8,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2018-06-25,10.0,mg/L,0.0,mg/L,21.0,mg/L,1.4,μg/L,0.0,mg/L,,,4.0,NMP/100mL,17.0,μS/cm,6.1,UC,,mg/L,,mg/L,8.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.06,mg/L,0.001,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.1,mg/L,0.0,mg/L,14.2,mg/L,,,8.0,,,mg/L,,,,,,,25.2,°C,,m,15.0,NTU,,,,,7.5,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2018-06-25,14.0,mg/L,0.0,mg/L,10.0,mg/L,1.8,μg/L,0.0,mg/L,,,7.0,NMP/100mL,20.0,μS/cm,10.0,UC,,mg/L,,mg/L,10.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.06,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,12.0,mg/L,,,10.0,,,mg/L,,,,,,,24.5,°C,,m,21.0,NTU,,,,,7.1,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2018-06-25,12.0,mg/L,0.0,mg/L,10.0,mg/L,2.6,μg/L,0.0,mg/L,,,0.0,NMP/100mL,16.4,μS/cm,80.4,UC,,mg/L,,mg/L,8.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.2,mg/L,0.0,mg/L,12.0,mg/L,,,8.0,,,mg/L,,,,,,,23.2,°C,,m,10.0,NTU,,,,,7.1,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2018-06-25,16.0,mg/L,0.183,mg/L,46.3,mg/L,6.5,μg/L,0.008,mg/L,,,819.0,NMP/100mL,32.0,μS/cm,12.6,UC,,mg/L,,mg/L,22.0,mg/L,25.0,NPM/100mL,0.42,mg/L,,,,,1.1,mg/L,0.212,mg/L,0.183,mg/L,0.008,mg/L,,mg/L,,mg/L,4.8,mg/L,0.0,mg/L,43.5,mg/L,,,16.0,,,mg/L,,,,,,,23.8,°C,,m,28.2,NTU,,,,,7.4,mg/L,1.4,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2018-06-25,16.0,mg/L,0.01,mg/L,25.3,mg/L,2.4,μg/L,0.0,mg/L,,,0.0,NMP/100mL,16.0,μS/cm,10.0,UC,,mg/L,,mg/L,16.0,mg/L,0.0,NPM/100mL,0.42,mg/L,,,,,1.1,mg/L,0.1,mg/L,0.11,mg/L,0.02,mg/L,,mg/L,,mg/L,4.9,mg/L,0.0,mg/L,23.5,mg/L,,,8.0,,,mg/L,,,,,,,24.2,°C,,m,20.0,NTU,,,,,7.0,mg/L,0.5,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2018-06-25,10.0,mg/L,0.0,mg/L,6.2,mg/L,2.3,μg/L,0.0,mg/L,,,36.0,NMP/100mL,19.0,μS/cm,8.6,UC,,mg/L,,mg/L,17.0,mg/L,0.0,NPM/100mL,0.41,mg/L,,,,,0.184,mg/L,0.142,mg/L,0.136,mg/L,0.005,mg/L,,mg/L,,mg/L,4.8,mg/L,0.0,mg/L,21.1,mg/L,,,10.0,,,mg/L,,,,,,,24.5,°C,,m,16.0,NTU,,,,,7.4,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2018-06-25,14.0,mg/L,0.0,mg/L,20.0,mg/L,2.5,μg/L,0.0,mg/L,,,0.0,NMP/100mL,12.0,μS/cm,10.6,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.23,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,16.5,mg/L,,,6.0,,,mg/L,,,,,,,24.5,°C,,m,21.0,NTU,,,,,7.2,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
