PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez,Latitude,Longitude,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
CLA-06,2020-10-07,1.59,2.0,,9.0,,,,2.48,-18.56984252661672,-51.10807692400981,403.0,569.0,396.0,410.0,291.0,387.0,0.017369727047146403,-0.15283842794759825,-103.39999999999998,0.1903765690376569,1.411910669975186,0.6959578207381371,1.0353535353535352,2020-09-12,0.005689,10,4
CLA-06B,2020-10-07,5.2,2.1,,10.0,,,,2.36,-18.580416304138197,-51.10538491999489,338.0,484.0,339.0,297.0,214.0,279.0,-0.0660377358490566,-0.22603978300180833,-114.33333333333331,0.2686762778505898,1.4319526627218935,0.7004132231404959,0.8761061946902655,2020-09-12,0.005689,10,4
CLA-07,2020-10-07,4.5,2.1,,10.0,,,,2.12,-18.64469238815568,-51.05218482324302,503.0,653.0,518.0,497.0,406.0,432.0,-0.020689655172413793,-0.12121212121212122,-96.71111111111111,0.20368663594470046,1.2982107355864811,0.7932618683001531,0.9594594594594594,2020-09-12,0.005689,10,4
CLA-08,2020-10-07,1.74,1.6,,9.0,,,,2.84,-18.706763370925028,-51.008782838537705,300.0,449.0,324.0,290.0,258.0,230.0,-0.05537459283387622,-0.1134020618556701,-49.28888888888889,0.3225331369661267,1.4966666666666666,0.7216035634743875,0.8950617283950617,2020-09-12,0.005689,10,4
CLA-08CS,2020-10-14,1.29,1.4,,9.0,,,,2.45,-18.658334892800493,-51.06757829218299,917.0,1104.0,865.0,819.0,789.0,748.0,-0.027315914489311165,-0.045949214026602174,-55.200000000000045,0.19222462203023757,1.2039258451472192,0.7835144927536232,0.9468208092485549,2020-10-02,0.006008,10,4
CLA-09,2020-10-15,1.3,0.6,,8.0,,,,2.72,-18.732783800131944,-51.003284514940056,302.0,445.0,261.0,483.0,280.0,219.0,0.29838709677419356,0.03512014787430684,26.46666666666667,0.34036144578313254,1.4735099337748345,0.5865168539325842,1.8505747126436782,2020-10-02,0.006008,10,4
CLA-ETE,2020-10-14,3.41,0.6,,23.0,,,23.0,2.84,-18.56789782716224,-51.11068187135282,644.0,835.0,732.0,723.0,597.0,660.0,-0.006185567010309278,-0.10158013544018059,-122.20000000000005,0.11705685618729098,1.296583850931677,0.8766467065868263,0.9877049180327869,2020-10-02,0.006008,10,4
CLA-01,2021-10-03,1.34,2.5,16.0,,,,,2.46,-18.40471469720768,-51.22287716980235,780.0,842.0,830.0,1163.0,745.0,626.0,0.16708479678876068,-0.05396825396825397,-48.73333333333335,0.14713896457765668,1.0794871794871794,0.9857482185273159,1.4012048192771085,2021-09-22,0.004277,10,4
CLA-02,2021-10-03,1.0,2.0,16.0,,,,,2.4,-18.478620867606217,-51.188607926708855,664.0,717.0,650.0,636.0,525.0,344.0,-0.01088646967340591,-0.10638297872340426,-70.60000000000002,0.351555136663525,1.0798192771084338,0.9065550906555091,0.9784615384615385,2021-09-22,0.004277,10,4
CLA-03,2021-10-03,1.67,2.5,16.0,,,,,1.59,-18.528218997966466,-51.15191904306638,648.0,664.0,590.0,588.0,491.0,351.0,-0.001697792869269949,-0.09158186864014801,-56.51111111111106,0.3083743842364532,1.0246913580246915,0.8885542168674698,0.9966101694915255,2021-09-22,0.004277,10,4
CLA-04,2021-10-03,1.34,4.0,16.0,,,,,1.06,-18.554869066877227,-51.12675459317855,616.0,687.0,623.0,667.0,615.0,511.0,0.034108527131782945,-0.006462035541195477,11.911111111111154,0.14691151919866444,1.1152597402597402,0.9068413391557496,1.0706260032102728,2021-09-22,0.004277,10,4
CLA-05,2021-10-03,1.0,2.5,18.0,,,,,1.73,-18.55495622601502,-51.12622947820932,625.0,688.0,589.0,594.0,551.0,420.0,0.00422654268808115,-0.03333333333333333,-7.95555555555552,0.24187725631768953,1.1008,0.8561046511627907,1.0084889643463497,2021-09-22,0.004277,10,4
CLA-06,2021-10-03,2.67,3.0,16.0,,,,,1.44,-18.56984252661672,-51.10807692400981,703.0,773.0,683.0,700.0,607.0,514.0,0.012292118582791034,-0.05891472868217054,-45.95555555555552,0.20124320124320125,1.0995732574679944,0.8835705045278137,1.0248901903367496,2021-09-22,0.004277,10,4
CLA-06B,2021-10-03,1.0,2.0,16.0,,,,,1.33,-18.580416304138197,-51.10538491999489,636.0,699.0,615.0,626.0,518.0,435.0,0.008863819500402902,-0.08561341571050309,-65.0,0.2328042328042328,1.099056603773585,0.8798283261802575,1.0178861788617886,2021-09-22,0.004277,10,4
CLA-07,2021-10-03,1.67,2.5,16.0,,,,,1.09,-18.64469238815568,-51.05218482324302,690.0,781.0,678.0,670.0,609.0,492.0,-0.005934718100890208,-0.053613053613053616,-35.93333333333328,0.2270227808326787,1.1318840579710145,0.8681177976952625,0.9882005899705014,2021-09-22,0.004277,10,4
CLA-08,2021-10-03,2.34,1.0,16.0,,,,,1.01,-18.706763370925028,-51.008782838537705,647.0,719.0,681.0,669.0,631.0,505.0,-0.008888888888888889,-0.038109756097560975,-18.71111111111111,0.17483660130718953,1.1112828438948996,0.9471488178025035,0.9823788546255506,2021-09-22,0.004277,10,4
CLA-08CS,2021-10-03,1.0,2.5,16.0,,,,,1.28,-18.658334892800493,-51.06757829218299,710.0,792.0,656.0,661.0,536.0,448.0,0.0037965072133637054,-0.10067114093959731,-83.02222222222224,0.27741935483870966,1.115492957746479,0.8282828282828283,1.0076219512195121,2021-09-22,0.004277,10,4
CLA-09,2021-10-03,1.0,0.8,16.0,,,,,1.28,-18.732783800131944,-51.003284514940056,577.0,709.0,556.0,778.0,571.0,414.0,0.1664167916041979,0.013309671694764862,40.24444444444441,0.26268922528940336,1.2287694974003467,0.7842031029619182,1.3992805755395683,2021-09-22,0.004277,10,4
CLA-ETE,2021-10-03,36.32,0.0,128.0,,,,,89.9,-18.56789782716224,-51.11068187135282,638.0,726.0,637.0,642.0,664.0,493.0,0.003909304143862392,0.0207532667179093,52.60000000000002,0.1911402789171452,1.1379310344827587,0.8774104683195593,1.0078492935635792,2021-09-22,0.004277,10,4
CLA-01,2022-01-04,1.0,,,12.0,,,28.0,29.6,-18.40471469720768,-51.22287716980235,1202.0,1678.0,2118.0,2616.0,1354.0,543.0,0.10519645120405577,-0.22004608294930875,-484.0,0.5110310670868978,1.3960066555740434,1.2622169249106079,1.2351274787535411,2021-12-26,0.185473,1,1
