ponto,data,Clorofila_a,Turbidez
TM30,11/21/2019,,9.08
TM35,11/21/2019,,7.81
TM40,11/20/2019,,1.08
TM45,11/19/2019,,0.81
TM50,11/19/2019,,1.28
TM55,11/19/2019,,3525.00
TM10,2/18/2020,,180.00
TM15,2/19/2020,,6.34
TM20,2/19/2020,,10.50
TM25,2/19/2020,,3.53
TM30,2/20/2020,,3.08
TM35,2/20/2020,,1.30
TM40,2/21/2020,,2.30
TM45,2/18/2020,,31.20
TM50,2/20/2020,,21.70
TM55,2/18/2020,,2300.00
TM10,5/5/2020,,52.00
TM15,5/7/2020,,5.65
TM20,5/7/2020,,6.60
TM25,5/7/2020,,6.73
TM30,5/6/2020,,5.10
TM35,5/6/2020,,3.78
TM40,5/6/2020,,3.99
TM45,5/5/2020,,54.90
TM50,5/5/2020,,57.90
TM55,5/5/2020,,20.90
TM45,4/28/2016,1.07,
TM50,4/28/2016,1.07,
TM55,4/28/2016,1.07,
TM40,4/29/2016,1.07,
TM25,5/3/2016,1.07,
TM20,5/3/2016,1.07,
TM15,5/3/2016,1.07,
TM30,5/4/2016,1.07,
TM35,5/4/2016,1.07,
TM40,8/23/2016,1.07,
TM55,8/23/2016,1.07,
TM45,8/23/2016,1.07,
TM50,8/23/2016,2.14,
TM30,8/24/2016,1.07,
TM25,8/25/2016,1.07,
TM20,8/25/2016,1.07,
TM35,8/25/2016,1.07,
TM55,11/8/2016,1.07,
TM45,11/8/2016,1.07,
TM50,11/8/2016,1.07,
TM40,11/8/2016,1.07,
TM15,11/8/2016,1.07,
TM30,11/8/2016,1.07,
TM25,11/9/2016,1.07,
TM20,11/9/2016,1.07,
TM35,11/9/2016,1.07,
TM45,2/14/2017,1.07,
TM55,2/14/2017,1.78,
TM50,2/14/2017,1.07,
TM30,2/16/2017,1.07,
TM35,2/16/2017,1.07,
TM40,2/16/2017,1.07,
TM25,2/17/2017,1.07,
TM20,2/17/2017,2.14,
TM15,2/17/2017,1.07,
TM40,2/27/2018,1.07,
TM35,2/28/2018,1.07,
TM50,2/28/2018,1.07,
TM45,2/28/2018,1.07,
TM55,3/1/2018,1.78,
TM30,3/1/2018,1.07,
TM25,3/2/2018,1.07,
TM15,3/2/2018,1.07,
TM20,3/2/2018,1.07,
TM40,5/15/2018,1.07,
TM50,5/15/2018,1.07,
TM55,5/15/2018,1.07,
TM45,5/15/2018,1.07,
TM35,5/16/2018,1.07,
TM30,5/16/2018,1.07,
TM15,5/17/2018,1.07,
TM20,5/17/2018,1.07,
TM25,5/17/2018,1.07,
TM45,8/21/2018,39.5,
TM55,8/21/2018,13.9,
TM40,8/21/2018,57.7,
TM50,8/21/2018,25.6,
TM30,8/22/2018,19.2,
TM25,8/22/2018,1.07,
TM35,8/22/2018,1.07,
TM20,8/23/2018,1.07,
TM15,8/23/2018,1.07,
TM55,11/20/2018,2.57,
TM40,11/20/2018,1.07,
TM50,11/20/2018,1.07,
TM35,11/21/2018,1.07,
TM30,11/21/2018,3.2,
TM25,11/22/2018,1.07,
TM20,11/22/2018,1.07,
TM45,2/26/2019,1.07,
TM50,2/26/2019,1.07,
TM55,2/26/2019,1.07,
TM35,2/27/2019,1.07,
TM40,2/27/2019,1.07,
TM30,2/27/2019,1.07,
TM15,2/28/2019,1.07,
TM25,2/28/2019,1.07,
TM20,2/28/2019,1.07,
TM55,5/21/2019,1.07,
TM45,5/21/2019,1.07,
TM50,5/21/2019,1.07,
TM35,5/21/2019,1.07,
TM40,5/21/2019,1.07,
TM30,5/22/2019,1.07,
TM20,5/22/2019,1.07,
TM25,5/22/2019,1.07,
TM50,8/20/2019,1.07,
TM55,8/20/2019,1.07,
TM45,8/20/2019,1.07,
TM15,8/21/2019,1.07,
TM20,8/21/2019,1.07,
