"ponto","data","Condutividade_Eletrica","Oxigenio_dissolvido","Deficit_oxigenio_dissolvido","Temperatura_agua","Transparencia","Turbidez","pH","Profundidade","Clorofila_a","Fosforo_total","Nitrogenio_total","Solidos_suspensao","Alcalinidade_total","Nitrato_total","Demanda_bioquimica_oxigenio","Solidos_dissolvidos_totais","Potencial_redox","Manganes_total","Coliformes_termotolerantes","Cor_verdadeira","Ferro_dissolvido","Demanda_quimica_oxigenio","Oleos_Graxas","Densidade_cianobacterias","Solidos_totais","Indice_estado_trofico","Sulfeto","Sulfato_total","IQA ","Surfactantes"
"TM40F","4/29/2016","55.0","0.00","","25.9","","4.21","5.92","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","4/29/2016","68.0","6.04","","27.1","","4.12","7.63","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","4/29/2016","69.0","6.00","","27.1","","3.87","7.48","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","4/28/2016","59.0","5.90","","25.6","","65.90","7.50","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","4/28/2016","79.0","6.17","","24.9","","60.90","7.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","4/28/2016","68.0","8.57","","25.0","","8.32","7.26","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","5/3/2016","66.0","6.08","","26.4","","4.22","7.47","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","5/3/2016","68.0","6.43","","27.2","","3.55","7.37","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","5/3/2016","67.0","5.76","","25.7","","4.09","6.62","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","5/3/2016","68.0","7.06","","25.6","","4.82","6.80","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","5/3/2016","67.0","7.95","","26.4","1.30","3.35","7.77","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","5/3/2016","67.0","7.86","","25.9","","4.60","7.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","5/3/2016","68.0","5.58","","25.2","","6.56","7.15","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","5/3/2016","60.0","5.95","","26.3","","7.19","8.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","5/3/2016","67.0","5.78","","26.2","","7.28","8.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","5/4/2016","68.0","6.10","","26.3","","7.46","7.60","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","5/4/2016","68.0","6.18","","26.2","","4.03","7.75","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","5/4/2016","68.0","6.18","","26.3","","8.01","7.70","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","5/4/2016","66.0","5.30","","26.3","","8.33","7.20","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","5/4/2016","65.0","5.61","","26.7","","8.29","7.65","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","5/4/2016","66.0","5.50","","26.6","","7.48","7.61","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","8/24/2016","86.0","6.70","","19.9","","11.10","8.31","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","8/25/2016","76.0","7.10","","25.5","","4.22","7.19","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","8/25/2016","77.0","8.06","","26.9","2.00","5.49","8.69","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","8/25/2016","77.0","8.01","","26.1","","5.98","8.09","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","8/25/2016","68.0","5.91","","24.2","","11.00","6.99","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","8/25/2016","71.0","6.53","","26.0","2.00","8.31","7.92","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","8/25/2016","71.0","6.49","","25.8","","10.40","7.38","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","8/25/2016","70.0","6.72","","25.9","","5.11","7.28","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","8/25/2016","71.0","7.11","","26.5","2.00","2.75","8.07","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","8/25/2016","70.0","6.97","","26.3","","7.48","7.97","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","8/24/2016","72.0","6.97","","26.1","","8.39","7.90","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","8/24/2016","74.0","7.21","","26.1","1.50","6.20","8.06","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","8/24/2016","72.0","7.03","","26.2","","8.25","7.87","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","8/25/2016","71.0","5.96","","25.1","","5.16","7.01","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","8/25/2016","73.0","7.06","","26.6","2.00","3.40","8.51","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","8/25/2016","73.0","6.82","","26.1","","10.00","7.93","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","8/23/2016","60.0","0.92","","24.7","","3.39","6.06","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","8/23/2016","65.0","6.24","","25.9","4.50","1.79","7.70","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","8/23/2016","61.0","6.22","","26.1","","32.40","7.52","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","8/23/2016","79.0","8.02","","24.9","","46.40","8.08","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","8/23/2016","75.0","7.10","","26.3","","6.19","8.18","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","8/23/2016","71.0","7.63","","24.1","","4.55","8.02","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","11/10/2016","18.9","7.08","","26.5","","25.70","8.19","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","11/9/2016","17.9","1.68","","26.1","","5.04","7.34","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","11/8/2016","17.6","7.62","","28.9","","6.91","8.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","11/9/2016","17.3","7.51","","27.3","","8.29","8.41","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","11/9/2016","18.5","3.01","","26.0","","28.20","7.41","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","11/9/2016","18.2","6.40","","27.5","","27.10","7.95","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","11/9/2016","18.6","6.21","","27.3","","26.60","7.80","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","11/9/2016","17.3","0.00","","25.1","","4.75","7.16","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","11/9/2016","16.9","7.48","","27.2","","7.43","8.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","11/9/2016","17.2","7.33","","26.9","","6.99","8.32","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","11/8/2016","17.9","7.31","","29.3","","10.60","8.41","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","11/8/2016","18.2","7.72","","30.9","","7.69","8.53","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","11/8/2016","18.1","7.71","","29.8","","5.46","8.55","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","11/9/2016","17.1","0.00","","25.1","","3.96","6.89","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","11/9/2016","18.1","7.40","","31.2","","3.93","8.45","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","11/9/2016","16.8","7.49","","28.0","","3.77","8.39","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","11/8/2016","17.3","0.00","","23.7","","1.64","6.95","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","11/8/2016","19.6","7.29","","28.0","","2.76","8.32","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","11/8/2016","18.6","7.25","","27.6","","2.65","8.31","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","11/8/2016","21.3","5.63","","25.7","","6.21","7.86","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","11/8/2016","20.1","6.44","","25.5","","6.64","8.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","11/8/2016","28.2","7.35","","25.3","","53.90","8.80","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","2/17/2017","79.3","6.99","","27.7","","44.10","8.33","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","2/17/2017","69.8","6.4","","26.4","","4.65","7.79","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","2/17/2017","71.4","6.61","","28.5","1","8.48","8.12","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","2/17/2017","71.2","6.6","","28.4","","4.71","8.10","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","2/17/2017","61.4","6.77","","26.5","","22.40","7.95","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","2/17/2017","62.3","6.93","","27.8","5","29.60","8.22","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","2/17/2017","62.1","6.92","","27.4","","23.70","8.23","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","2/17/2017","83.2","6.8","","26.3","","7.48","7.80","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","2/17/2017","83.5","6.89","","27.2","1","9.64","7.87","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","2/17/2017","83.5","6.89","","27.1","","6.16","7.86","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","2/16/2017","89.5","6.19","","26.7","","6.24","7.83","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","2/16/2017","86.5","6.38","","28.6","1","3.71","7.91","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","2/16/2017","86.8","6.38","","28.5","","4.04","7.90","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","2/16/2017","85.0","6.58","","28.4","","4.47","7.90","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","2/16/2017","82.5","6.68","","29.2","2","5.18","8.27","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","2/16/2017","82.7","6.67","","29.1","","4.03","8.20","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","2/16/2017","77.8","6.39","","27.0","","4.87","7.76","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","2/16/2017","76.4","6.47","","28.7","2","6.60","7.86","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","2/16/2017","76.6","6.47","","28.6","","5.39","7.86","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","2/14/2017","79.1","7.68","","25.0","","39.00","6.86","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","2/14/2017","99.4","7.72","","26.4","","62.90","7.08","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","2/14/2017","48.0","7.44","","25.5","","745.00","7.63","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","2/28/2018","63.0","0.00","","18.5","","121.00","7.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","2/28/2018","69.0","7.78","","23.6","N.A.","5.54","7.89","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","2/28/2018","78.0","7.76","","23.2","","5.12","7.50","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","2/27/2018","73.0","0.00","","21.9","","85.60","6.19","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","2/27/2018","74.0","7.33","","26.8","N.A.","3.19","6.20","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","2/27/2018","76.0","7.35","","26.5","","2.45","6.91","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","2/28/2018","108.0","5.83","","26.3","","44.10","7.13","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","2/28/2018","100.0","5.89","","27.0","","43.20","6.99","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","3/2/2018","67.0","6.00","","26.9","","349.00","8.17","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","3/2/2018","66.0","4.22","","20.6","","74.50","8.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","3/2/2018","72.0","8.81","","23.8","N.A.","10.10","8.43","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","3/2/2018","73.0","7.82","","22.4","","9.26","8.28","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","3/2/2018","62.0","5.44","","20.1","","94.50","8.26","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","3/2/2018","74.0","9.24","","24.8","N.A.","14.20","8.58","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","3/2/2018","74.0","9.00","","24.3","","13.00","8.66","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","3/2/2018","72.0","4.08","","20.0","","5.41","7.32","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","3/2/2018","75.0","8.11","","24.9","N.A.","4.98","8.65","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","3/2/2018","79.0","7.85","","24.5","","20.30","8.38","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","3/1/2018","78.0","6.18","","24.6","","6.41","8.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","3/1/2018","80.0","9.85","","25.8","N.A.","6.61","8.73","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","3/1/2018","79.0","8.23","","25.7","","8.17","9.12","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","3/1/2018","31.0","6.88","","27.4","","2370.00","8.41","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","5/16/2018","76.0","9.02","","24.0","","15.60","7.73","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","5/17/2018","66.0","4.88","","24.1","","5.07","7.06","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","5/17/2018","64.0","7.76","","25.1","N.A.","4.78","7.48","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","5/17/2018","64.0","7.64","","25.0","","5.10","7.19","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","5/17/2018","67.0","5.33","","23.1","","3.43","7.21","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","5/17/2018","64.0","7.72","","25.0","N.A.","3.92","7.37","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","5/17/2018","64.0","7.41","","24.8","","3.57","7.30","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","5/17/2018","68.0","4.82","","23.9","","7.53","5.79","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","5/17/2018","60.0","7.18","","25.3","N.A.","8.89","6.93","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","5/17/2018","62.0","6.78","","24.9","","8.08","6.40","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","5/16/2018","64.0","5.71","","24.6","","3.46","7.16","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","5/16/2018","63.0","6.75","","25.2","N.A.","3.50","7.23","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","5/16/2018","63.0","6.68","","25.0","","2.97","7.06","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","5/16/2018","62.0","4.86","","23.6","","6.35","7.22","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","5/16/2018","60.0","7.30","","25.4","N.A.","9.18","7.53","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","5/16/2018","62.0","6.93","","25.2","","7.72","7.23","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","5/15/2018","64.0","4.12","","23.8","","8.31","7.23","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","5/15/2018","57.0","6.71","","24.8","N.A.","5.88","7.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","5/15/2018","63.0","6.14","","24.6","","5.46","7.14","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","5/15/2018","53.0","2.53","","24.0","","22.40","7.21","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","5/15/2018","102.0","4.19","","24.6","","20.50","7.32","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","5/15/2018","77.0","8.78","","25.1","","6.16","8.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","8/23/2018","88.0","15.40","","23.7","","6.81","6.14","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","8/23/2018","65.0","4.36","","22.5","","3.21","5.75","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","8/23/2018","64.0","15.40","","23.5","2.00","2.99","5.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","8/23/2018","65.0","10.60","","23.2","","4.30","5.86","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","8/23/2018","69.0","7.45","","22.1","","4.23","6.60","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","8/23/2018","68.0","15.80","","22.5","2.00","3.21","6.70","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","8/23/2018","68.0","11.20","","22.0","","3.42","6.32","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","8/22/2018","67.0","5.96","","22.9","","3.88","5.92","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","8/22/2018","69.0","14.80","","23.5","2.00","4.21","5.11","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","8/22/2018","69.0","11.40","","23.3","","3.95","5.69","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","8/22/2018","63.0","8.51","","23.5","","3.52","4.59","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","8/22/2018","63.0","15.80","","24.5","2.00","3.41","4.80","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","8/22/2018","63.0","8.86","","23.6","","4.30","4.80","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","8/22/2018","63.0","5.08","","22.6","","2.68","6.45","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","8/22/2018","61.0","14.50","","23.4","2.00","2.95","6.47","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","8/22/2018","61.0","13.60","","23.5","","3.19","6.60","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","8/21/2018","63.0","5.45","","21.1","","3.65","6.58","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","8/21/2018","61.0","11.10","","23.5","2.00","2.33","7.49","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","8/21/2018","62.0","9.12","","22.4","","2.45","7.40","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","8/21/2018","63.0","9.14","","23.5","","3.04","6.99","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","8/21/2018","68.0","9.57","","24.2","","5.19","6.62","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","8/21/2018","71.0","10.50","","23.3","","4.28","6.97","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","11/23/2018","64.8","4.93","","23.5","","180.00","7.03","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","11/22/2018","62.0","4.82","","26.4","","29.80","7.16","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","11/22/2018","68.1","8.21","","26.8","0.65","9.30","7.66","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","11/22/2018","66.1","7.59","","26.8","","14.90","6.45","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","11/22/2018","60.1","6.49","","26.5","","60.20","6.33","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","11/22/2018","61.3","7.35","","26.2","0.20","51.70","7.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","11/22/2018","61.3","7.35","","26.2","","50.70","7.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","11/22/2018","67.4","5.30","","25.5","","17.50","6.46","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","11/22/2018","77.0","6.30","","26.4","2.50","3.06","6.63","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","11/22/2018","73.9","7.12","","26.4","","5.80","6.10","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","11/21/2018","63.5","7.74","","27.3","","6.36","6.76","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","11/21/2018","71.9","7.38","","27.2","1.50","4.39","7.16","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","11/21/2018","63.1","7.79","","27.3","","5.25","6.62","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","11/21/2018","59.3","3.74","","25.4","","25.00","6.89","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","11/21/2018","81.9","6.43","","25.7","2.50","3.19","7.45","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","11/21/2018","63.7","5.58","","25.6","","3.63","7.11","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","11/20/2018","55.5","6.68","","26.4","","58.70","7.03","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","11/20/2018","78.1","5.29","","26.7","2.00","3.38","7.09","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","11/20/2018","60.2","5.85","","26.9","","3.28","6.70","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","11/20/2018","81.0","4.81","","24.6","","7.22","7.43","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","11/20/2018","57.0","6.14","","25.9","","1970.00","7.59","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","2/28/2019","52.2","7.12","","26.3","","6.57","8.37","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","2/28/2019","53.5","8.19","","29.4","1.50","4.65","8.18","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","2/28/2019","52.3","7.32","","27.3","","5.45","8.54","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","2/28/2019","6.4","5.78","","26.7","","118.00","8.20","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","2/28/2019","51.6","7.88","","28.7","1.00","5.53","7.86","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","2/28/2019","51.4","7.36","","29.5","","8.19","8.31","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","2/28/2019","58.9","1.03","","26.3","","8.90","7.98","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","2/28/2019","54.0","7.48","","30.0","2.25","4.46","8.17","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","2/28/2019","55.1","7.26","","28.3","","6.09","8.37","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","2/27/2019","52.0","6.75","","30.6","","2.08","7.87","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","2/27/2019","53.2","6.87","","31.2","2.25","4.02","7.22","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","2/27/2019","51.0","6.10","","31.4","","4.29","7.70","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","2/27/2019","45.3","1.74","","25.3","","53.10","7.29","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","2/27/2019","49.8","6.22","","29.3","3.00","2.10","7.10","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","2/27/2019","48.7","6.08","","29.5","","2.44","7.56","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","2/27/2019","46.0","1.04","","28.7","","8.96","7.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","2/27/2019","47.9","6.71","","32.0","2.00","2.13","7.66","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","2/27/2019","48.0","6.04","","30.3","","2.88","7.65","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","2/26/2019","48.6","5.37","","26.1","","14.30","7.02","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","2/26/2019","43.5","2.22","","26.0","","15.10","6.95","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","2/26/2019","48.9","5.40","","29.5","","442.00","6.02","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","3/1/2019","50.4","6.57","","25.8","","211.00","7.89","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","5/23/2019","188.0","87.00","","21.1","","117.00","7.66","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","5/22/2019","107.0","3.56","","25.8","","3.40","7.91","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","5/22/2019","97.0","6.19","","27.6","3.00","2.74","7.89","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","5/22/2019","93.0","5.84","","27.0","","4.78","7.65","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","5/22/2019","102.0","4.50","","24.3","","5.15","7.90","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","5/22/2019","101.0","6.69","","27.2","3.00","6.38","5.86","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","5/22/2019","102.0","5.47","","26.6","","3.99","6.62","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","5/22/2019","109.0","0.00","","25.9","","109.00","7.95","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","5/22/2019","107.0","6.03","","27.6","5.00","4.47","6.95","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","5/22/2019","112.0","4.89","","26.8","","4.44","7.35","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","5/22/2019","102.0","4.10","","26.5","","3.56","7.90","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","5/22/2019","106.0","6.38","","27.3","4.00","3.10","7.11","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","5/22/2019","102.0","5.36","","26.9","","3.39","6.73","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","5/21/2019","82.0","0.32","","26.4","","8.16","8.84","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","5/21/2019","91.0","5.64","","27.8","2.00","6.86","6.61","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","5/21/2019","91.0","5.27","","27.4","","8.09","6.21","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","5/21/2019","101.0","0.00","","26.0","","10.70","7.79","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","5/21/2019","93.0","6.39","","28.0","8.00","2.92","6.39","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","5/21/2019","93.0","5.90","","27.8","","3.19","6.98","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","5/21/2019","168.0","6.72","","25.5","","20.90","7.78","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","5/21/2019","215.0","5.88","","25.1","","24.50","7.21","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","5/21/2019","78.0","7.42","","22.0","","896.00","7.75","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","8/20/2019","122.0","6.35","","22.7","","3.78","6.39","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","8/21/2019","77.8","6.50","","24.6","3.00","1.03","7.68","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","8/21/2019","78.6","68.80","","24.1","4.00","0.89","7.78","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","8/21/2019","79.8","6.93","","24.3","3.00","1.60","7.69","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","8/22/2019","71.0","5.01","","23.0","","0.56","7.60","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","8/22/2019","74.0","7.05","","24.5","4.00","1.61","7.58","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","8/22/2019","72.5","6.43","","23.5","","0.71","7.58","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","8/22/2019","72.9","2.83","","22.6","","1.45","7.70","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","8/22/2019","73.1","6.87","","24.3","5.00","0.53","7.68","","","","","","","","","","","","","","","","","","","","","","",""
