PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez
CLA-04,2020-04-01,0.001,,,1.0,,,,56.01
CLA-05,2020-04-01,0.53,,,19.0,,,,7.4
CLA-06,2020-04-01,0.001,,,8.0,,,,53.84
CLA-06B,2020-04-01,0.78,,,9.0,,,,17.92
CLA-07,2020-04-01,0.001,,,10.0,,,,12.04
CLA-08,2020-04-01,0.001,,,10.0,,,,9.82
CLA-08CS,2020-04-01,0.001,,,9.0,,,,9.12
CLA-09,2020-04-01,0.001,,,9.0,,,,9.78
CLA-ETE,2020-04-01,,,,24.0,,,,37.22
CLA-01,2020-07-15,0.4,1.6,,7.0,,,7.0,1.86
CLA-02,2020-07-15,0.55,1.5,,6.0,,,,2.12
CLA-03,2020-07-15,0.38,1.8,,8.0,,,,2.35
CLA-04,2020-07-15,0.7,1.6,,10.0,,,,3.05
CLA-05,2020-07-15,1.0,0.2,,18.0,,,,2.69
CLA-06,2020-07-15,0.45,1.8,,9.0,,,,3.43
CLA-06B,2020-07-15,0.5,1.6,,9.0,,,,1.76
CLA-07,2020-07-15,0.48,1.8,,10.0,,,,2.64
CLA-08,2020-07-15,0.6,1.6,,9.0,,,,3.16
CLA-08CS,2020-07-15,0.72,1.8,,8.0,,,,3.46
CLA-09,2020-07-15,0.5,4.0,,6.0,,,,2.89
CLA-ETE,2020-07-15,1.16,0.8,,19.0,,,,20.24
CLA-01,2020-10-07,2.1,1.2,,9.0,,,,1.45
CLA-02,2020-10-07,2.34,2.4,,8.0,,,,2.15
CLA-03,2020-10-07,2.41,2.0,,7.0,,,,2.21
CLA-04,2020-10-07,2.85,2.2,,11.0,,,,2.54
CLA-05,2020-10-07,1.5,0.1,,22.0,,,,2.54
CLA-06,2020-10-07,1.59,2.0,,9.0,,,,2.48
CLA-06B,2020-10-07,5.2,2.1,,10.0,,,,2.36
CLA-07,2020-10-07,4.5,2.1,,10.0,,,,2.12
CLA-08,2020-10-07,1.74,1.6,,9.0,,,,2.84
CLA-08CS,2020-10-14,1.29,1.4,,9.0,,,,2.45
CLA-09,2020-10-15,1.3,0.6,,8.0,,,,2.72
CLA-ETE,2020-10-14,3.41,0.6,,23.0,,,23.0,2.84
CLA-01,2021-10-03,1.34,2.5,16.0,,,,,2.46
CLA-02,2021-10-03,1.0,2.0,16.0,,,,,2.4
CLA-03,2021-10-03,1.67,2.5,16.0,,,,,1.59
CLA-04,2021-10-03,1.34,4.0,16.0,,,,,1.06
CLA-05,2021-10-03,1.0,2.5,18.0,,,,,1.73
CLA-06,2021-10-03,2.67,3.0,16.0,,,,,1.44
CLA-06B,2021-10-03,1.0,2.0,16.0,,,,,1.33
CLA-07,2021-10-03,1.67,2.5,16.0,,,,,1.09
CLA-08,2021-10-03,2.34,1.0,16.0,,,,,1.01
CLA-08CS,2021-10-03,1.0,2.5,16.0,,,,,1.28
CLA-09,2021-10-03,1.0,0.8,16.0,,,,,1.28
CLA-ETE,2021-10-03,36.32,0.0,128.0,,,,,89.9
CLA-01,2022-01-04,1.0,,,12.0,,,28.0,29.6
CLA-02,2022-01-04,1.0,,,12.0,,,20.0,23.3
CLA-03,2022-01-04,3.0,,,12.0,,,150.0,18.8
CLA-04,2022-01-04,2.0,,,18.0,,,68.0,33.3
CLA-05,2022-01-04,1.34,,,98.0,,,224.0,15.6
CLA-06,2022-01-04,1.0,,,12.0,,,38.0,32.5
CLA-06B,2022-01-04,1.0,,,12.0,,,76.0,34.8
CLA-07,2022-01-04,1.0,,,12.0,,,88.0,18.3
CLA-08,2022-01-04,1.0,,,10.0,,,78.0,13.6
CLA-08CS,2022-01-04,1.0,,,20.0,,,22.0,14.0
CLA-09,2022-01-04,1.0,,,12.0,,,82.0,22.2
CLA-ETE,2022-01-04,66.75,,,156.0,0.3,10.0,264.0,36.1
CLA-01,2022-04-03,1.0,0.4,,20.0,,,28.0,45.4
CLA-02,2022-04-03,1.0,0.6,,18.0,,,28.0,21.9
CLA-03,2022-04-03,1.0,0.95,,18.0,,,24.0,13.3
CLA-04,2022-04-03,5.34,0.5,,18.0,,,26.0,33.9
CLA-05,2022-04-03,1.669,0.5,,20.0,,,30.0,31.8
CLA-06,2022-04-03,1.0,0.5,,18.0,,,26.0,33.9
CLA-06B,2022-04-03,1.335,1.5,,28.0,,,32.0,23.8
CLA-07,2022-04-03,4.005,0.5,,22.0,,,28.0,16.1
CLA-08,2022-04-03,1.001,0.8,,18.0,,,24.0,33.5
CLA-08CS,2022-04-03,1.0,0.5,,22.0,,,32.0,13.3
CLA-09,2022-04-03,1.0,0.8,,30.0,,,38.0,35.3
CLA-ETE,2022-04-03,,,,166.0,0.3,10.0,248.0,33.6
CLA-01,2022-07-02,1.0,2.0,,16.0,,,22.0,4.54
CLA-02,2022-07-02,5.674,3.5,,18.0,,,30.0,1.98
CLA-03,2022-07-02,13.684,5.0,,16.0,,,20.0,1.89
